학년도,시도,학업중단자 총계,초등학교,,,중학교,,,,,,,,고등학교,,,,,,,,,,,,,,
,,,계,유예,면제,계,2003년 이후 기준,,2002년까지의 기준,,,,,계,유예,면제,자퇴(~2011학년도까지의 기준),,,,,자퇴(2012학년도 이후 기준),,,,,퇴학,제적
,,,,,,,유예,면제,질병,부적응,품행,가사,기타,,,,질병,부적응,품행,가사,기타,질병,가사,부적응,해외출국,기타,,
2010,울산,1642,296,230,66,394,354,40,0,0,0,0,0,952,0,0,57,601,12,69,213,0,0,0,0,0,0,0
2011,울산,1588,321,227,94,351,306,45,0,0,0,0,0,916,0,0,42,581,6,48,239,0,0,0,0,0,0,0
2012,울산,1422,262,146,116,351,300,51,0,0,0,0,0,809,9,1,0,0,0,0,0,23,42,499,92,139,4,0
2013,울산,1236,230,118,112,294,264,30,0,0,0,0,0,712,2,0,0,0,0,0,0,19,12,464,77,128,7,3
2014,울산,922,223,84,139,203,158,45,0,0,0,0,0,496,4,0,0,0,0,0,0,18,10,213,82,125,44,0
2015,울산,758,219,78,141,184,131,53,0,0,0,0,0,355,2,0,0,0,0,0,0,11,4,129,68,102,39,0
2016,울산,772,216,61,155,149,98,51,0,0,0,0,0,407,0,0,0,0,0,0,0,15,6,121,65,172,26,2
2017,울산,751,244,78,166,131,92,39,0,0,0,0,0,376,2,0,0,0,0,0,0,16,2,99,65,179,13,0
2018,울산,802,241,63,178,140,106,34,0,0,0,0,0,421,2,0,0,0,0,0,0,23,4,115,45,217,15,0
2019,울산,735,271,61,210,139,98,41,0,0,0,0,0,325,0,0,0,0,0,0,0,7,1,72,40,199,6,0
2012,세종,101,3,2,1,22,19,3,0,0,0,0,0,76,0,0,0,0,0,0,0,5,3,54,7,4,3,0
2013,세종,131,40,6,34,35,29,6,0,0,0,0,0,56,0,0,0,0,0,0,0,4,0,32,10,9,1,0
2014,세종,171,56,11,45,37,22,15,0,0,0,0,0,78,2,0,0,0,0,0,0,6,2,28,15,24,1,0
2015,세종,242,103,18,85,48,31,17,0,0,0,0,0,91,1,0,0,0,0,0,0,6,0,27,17,37,3,0
2016,세종,306,151,21,130,52,31,21,0,0,0,0,0,103,1,0,0,0,0,0,0,4,0,41,15,39,3,0
2017,세종,430,230,60,170,71,44,27,0,0,0,0,0,129,0,0,0,0,0,0,0,5,1,34,25,60,4,0
